area_type,availability,location,size,total_sqft,bath,balcony,price
Appartment,19-Dec,DHA Defence,2 BHK,1056,2,1,39.07
Plot,Ready To Move,North Nazimabad,4 Bedroom,2600,5,3,120
House,Ready To Move,Saddar Town,3 BHK,1440,2,3,62
Appartment,Ready To Move,Gulshan-e-Iqbal Town,3 BHK,1521,3,1,95
Appartment,Ready To Move,Tariq Road,2 BHK,1200,2,1,51
Appartment,Ready To Move,Clifton,2 BHK,1170,2,1,38
Appartment,18-May,Frere Town,4 BHK,2732,4,,204
Appartment,Ready To Move,Nazimabad,4 BHK,3300,4,,600
Appartment,Ready To Move,Khalid Bin Walid Road,3 BHK,1310,3,1,63.25
Plot,Ready To Move,Garden West,6 Bedroom,1020,6,,370
Appartment,18-Feb,Clifton,3 BHK,1800,2,2,70
Plot,Ready To Move,Clifton,4 Bedroom,2785,5,3,295
Appartment,Ready To Move,Gulistan-e-Jauhar ,2 BHK,1000,2,1,38
House,Ready To Move,Malir,2 BHK,1100,2,2,40
Plot,Ready To Move,Mehmoodabad,3 Bedroom,2250,3,2,148
Appartment,Ready To Move,Jamshed Town ,2 BHK,1175,2,2,73.5
Appartment,Ready To Move,Clifton Block nine,3 BHK,1180,3,2,48
Appartment,Ready To Move,DHA Phase seven,3 BHK,1540,3,3,60
Appartment,Ready To Move,DHA Phase six,3 BHK,2770,4,2,290
Appartment,Ready To Move,Dhoraji Colony,2 BHK,1100,2,2,48
House,Ready To Move,Cornish Society Scheme ,1 BHK,600,1,1,15
Appartment,19-Dec,Cornish Society Scheme ,3 BHK,1755,3,1,122
Plot,Ready To Move,North Karachi,4 Bedroom,2800,5,2,380
Appartment,Ready To Move,Punjab Colony,3 BHK,1767,3,1,103
Appartment,18-Nov, North Karachi,1 BHK,510,1,0,25.25
Appartment,18-May,Airport Road,3 BHK,1250,3,2,56
Appartment,Ready To Move,Kashmir Road,2 BHK,660,1,1,23.1
House,20-Dec,Clifton,3 BHK,1610,3,2,81
Appartment,17-Oct,Defence Garden,2 BHK,1151,2,2,48.77
Appartment,Ready To Move,Kashmir Road,3 BHK,1025,2,1,47
Appartment,19-Dec,Navy Housing Scheme Karsaz,4 BHK,2100 - 2850,4,0,186
Appartment,Ready To Move,Clifton Block nine,3 BHK,1075,2,1,35
Appartment,Ready To Move,DHA Defence,3 BHK,1760,2,2,123
Appartment,Ready To Move,North Nazimabad,3 BHK,1693,3,3,57.39
House,Ready To Move,Saddar Town,3 BHK,1925,3,,125
Appartment,21-Dec,Gulshan-e-Iqbal Town,2 BHK,700,2,1,36
Appartment,Ready To Move,Tariq Road,2 BHK,1070,2,1,45.5
Appartment,Ready To Move,Clifton,3 BHK,1724,3,2,125
Appartment,Ready To Move,Frere Town,3 BHK,1290,2,2,56.12
House,Ready To Move,Nazimabad,2 BHK,1143,2,2,45
House,Ready To Move,Khalid Bin Walid Road,2 BHK,1296,2,,81
Appartment,19-Dec,Garden West,3 BHK,1254,3,2,38
Appartment,Ready To Move,Clifton,1 BHK,600,1,0,38
Plot,Ready To Move,Clifton,1 Bedroom,660,1,0,48
Appartment,19-Sep,Gulistan-e-Jauhar ,2 BHK,1330.74,2,2,91.79
Plot,Ready To Move,Malir,8 Bedroom,600,9,,200
Appartment,Ready To Move,Mehmoodabad,2 BHK,970,2,0,33
Appartment,20-Sep,Jamshed Town ,2 BHK,1459,2,1,94.82
Plot,Ready To Move,Clifton Block nine,2 Bedroom,800,1,1,130
House,Ready To Move,DHA Phase seven,2 BHK,869,2,1,36
Appartment,Ready To Move,DHA Phase six,2 BHK,1270,2,1,50
Appartment,18-Mar,Dhoraji Colony,3 BHK,1670,3,1,99
House,Ready To Move,Cornish Society Scheme ,3 BHK,2010,3,2,91
Appartment,Ready To Move,Cornish Society Scheme ,2 BHK,1185,2,2,75
Appartment,Ready To Move,North Karachi,3 BHK,1600,2,3,75
Appartment,Ready To Move,Punjab Colony,2 BHK,1200,2,2,44
House,20-Feb, North Karachi,4 Bedroom,3010 - 3410,,,192
Appartment,Ready To Move,Airport Road,2 BHK,1500,2,2,185
Plot,Ready To Move,Kashmir Road,6 Bedroom,1407,4,1,150
Appartment,Ready To Move,Clifton,2 BHK,840,2,2,45
Plot,Ready To Move,Defence Garden,3 Bedroom,4395,3,2,240
Appartment,Ready To Move,Kashmir Road,2 BHK,845,2,1,55
Plot,Ready To Move,Navy Housing Scheme Karsaz,4 Bedroom,5700,5,3,650
House,Ready To Move,Clifton Block nine,2 BHK,1160,2,2,44
House,Ready To Move,Abid Town,8 Bedroom,3000,8,0,140
Appartment,Ready To Move,Gohar Green City,2 BHK,1100,2,1,62
Appartment,18-Apr,Hill Park,2 BHK,1140,2,3,43
